ICRA,ICRA,3
IROS,IROS,3
Robotics: Science and Systems,RSS,3
I. J. Robotics Res.,Intern. J. of Robotics Research,5
IEEE Trans. Robotics,IEEE Trans. Robotics,4
Robotics Auton. Syst.,Robotics & Autonomous Syst.,5
J. Intell. Robotic Syst.,J. Intelligent & Robotic Syst.,5
J. Field Robotics,J. Field Robotics,5
Auton. Robots,Autonomous Robots,5
IEEE Robotics Autom. Mag.,IEEE Robotics & Automation Mag.,6
Robotica,Robotica,5
IEEE Robotics Autom. Lett.,IEEE RA-L,7
IEEE CAA J. Autom. Sinica,IEEE/CAA Journal of Automatica Sinica,6
IEEE Trans. Mechatronics,IEEE Trans. Mechatronics,7
Int. J. Mechatronics Autom.,International Journal of Mechatronics and Automation,6
J. Robotics Mechatronics,Journal of Robotics and Mechatronics,7
Mechatronics,Mechatronics,7
Robotics Comput. Integr. Manuf.,Robotics and Computer-Integrated Manufacturing,7
J Brazilian Soci. Mec. Sci. Eng.,Journal of the Brazilian Society of Mechanical Sciences and Engineering,4
Commun. ACM,Communications ACM,6
Computer,IEEE Computer,6
ACM Comput. Surv.,ACM Comput. Surveys,5
Comput. Stand. Interfaces,Comput. Stand. Interfaces,5
Auton. Robot.,Autonomous Robots,6
J. Intell. Robotic Syst.,J. Intelligent & Robotic Syst.,5
Cogn. Robot. ,Cognitive Robotics,4
Intell. Serv. Robotics,Intelligent Service Robotics,4
Swarm Intell.,Swarm Intelligence,4
Int. J. Intell. Robotics Appl.,Int. J. of Intelligent Robotics and Applications,4